0.21656,0.23785,0.2493,0.24256,0.22103,0.18963,0.17042,0.15747,0.14052,0.13774,0.14476,0.16185,0.15399,0.17152,0.17764,0.16933,0.18263,0.1893,0.19487,0.21127,0.23785,0.26174,0.28834,0.30959,0.32047,0.3152,0.31029,0.27659,0.24102,0.22929,0.11051,0.12914,0.13045,0.12914,0.11915,0.10037,0.082768,0.040533,0.01245,0.03565,0.067274,0.081065,0.08803,0.083698,0.091821,0.11051,0.10266,0.09333,0.10266,0.10505,0.13408,0.18441,0.22444,0.28542,0.31623,0.3382,0.34113,0.34685,0.33131,0.31755,0.34591,0.37452,0.41234,0.41931,0.4192,0.412,0.41053,0.4108,0.40887,0.3978,0.39227,0.37835,0.36801,0.32465,0.3195,0.25447,0.21426,0.15953,0.11705,0.078147,0.094811,0.1494,0.20174,0.2593,0.27905,0.30823,0.2917,0.25159,0.19447,0.1734
0.21656,0.23785,0.2493,0.24256,0.22103,0.18963,0.17042,0.15747,0.14052,0.13774,0.14476,0.16185,0.15399,0.17152,0.17764,0.16933,0.18263,0.1893,0.19487,0.21127,0.23785,0.26174,0.28834,0.30959,0.32047,0.3152,0.31029,0.27659,0.24102,0.22929,0.11051,0.12914,0.13045,0.12914,0.11915,0.10037,0.082768,0.040533,0.01245,0.03565,0.067274,0.081065,0.08803,0.083698,0.091821,0.11051,0.10266,0.09333,0.10266,0.10505,0.13408,0.18441,0.22444,0.28542,0.31623,0.3382,0.34113,0.34685,0.33131,0.31755,0.34591,0.37452,0.41234,0.41931,0.4192,0.412,0.41053,0.4108,0.40887,0.3978,0.39227,0.37835,0.36801,0.32465,0.3195,0.25447,0.21426,0.15953,0.11705,0.078147,0.094811,0.1494,0.20174,0.2593,0.27905,0.30823,0.2917,0.25159,0.19447,0.1734
0.22103,0.24899,0.25906,0.2493,0.21877,0.20075,0.18127,0.15146,0.13374,0.13785,0.14019,0.15288,0.15845,0.17197,0.17851,0.17042,0.18032,0.19677,0.20174,0.21513,0.24421,0.26817,0.31303,0.32769,0.33526,0.32769,0.32583,0.27961,0.26736,0.24724,0.11626,0.1295,0.13234,0.13281,0.12019,0.10236,0.077546,0.045912,0.017606,0.029983,0.063482,0.079133,0.083698,0.10221,0.094488,0.10266,0.09333,0.094811,0.08803,0.10037,0.13964,0.17295,0.23071,0.27977,0.31223,0.33522,0.3341,0.33857,0.32868,0.31149,0.36125,0.38674,0.41459,0.41975,0.43076,0.41861,0.40872,0.40659,0.40533,0.40521,0.39858,0.3885,0.3727,0.34086,0.31357,0.26984,0.21962,0.17269,0.12986,0.082768,0.08803,0.13281,0.19487,0.2483,0.28395,0.30748,0.29085,0.25306,0.19518,0.17079
0.22103,0.24899,0.25906,0.2493,0.22103,0.20075,0.18127,0.15747,0.14052,0.13785,0.14476,0.16185,0.15845,0.17197,0.17851,0.17042,0.18263,0.19677,0.20174,0.21513,0.24421,0.26817,0.31303,0.32769,0.33526,0.32769,0.32583,0.27961,0.26736,0.24724,0.11626,0.1295,0.13234,0.13281,0.12019,0.10236,0.082768,0.045912,0.017606,0.03565,0.067274,0.081065,0.08803,0.10221,0.094488,0.10637,0.10266,0.094811,0.10266,0.10505,0.13964,0.18441,0.23071,0.28542,0.31623,0.3382,0.34113,0.34685,0.33131,0.31755,0.36125,0.38674,0.41459,0.41975,0.43076,0.41861,0.41053,0.4108,0.40887,0.40521,0.39858,0.3885,0.3727,0.34086,0.3195,0.26984,0.21962,0.17269,0.12019,0.082768,0.094811,0.1494,0.20174,0.2593,0.28395,0.30823,0.2917,0.25306,0.19518,0.1734
0.24038,0.25953,0.27007,0.26875,0.24044,0.21685,0.18449,0.16261,0.14646,0.1426,0.14019,0.15288,0.16232,0.17197,0.17851,0.17606,0.18032,0.19677,0.20174,0.21513,0.24856,0.27507,0.31303,0.33577,0.33526,0.32769,0.32583,0.28634,0.26736,0.24724,0.11745,0.13592,0.13964,0.13408,0.12019,0.10695,0.079717,0.045912,0.017606,0.029983,0.063482,0.082768,0.083698,0.10221,0.1046,0.10266,0.10637,0.097233,0.10266,0.10967,0.13964,0.1799,0.23204,0.28192,0.31223,0.33522,0.3394,0.33857,0.33665,0.31657,0.36125,0.39072,0.41459,0.4342,0.43076,0.41861,0.40872,0.4083,0.40644,0.40521,0.39858,0.3885,0.3727,0.34086,0.31357,0.26984,0.21962,0.17269,0.12019,0.082768,0.08803,0.13281,0.19487,0.2483,0.28395,0.30748,0.29085,0.25306,0.19518,0.17079
0.259,0.27927,0.28225,0.27961,0.24598,0.22444,0.19518,0.1697,0.15125,0.14699,0.16213,0.16451,0.17929,0.19198,0.18963,0.18914,0.19003,0.21962,0.21201,0.23915,0.26782,0.30748,0.33743,0.3527,0.37535,0.3727,0.35863,0.31691,0.29681,0.27558,0.11902,0.14195,0.15125,0.14368,0.13774,0.1245,0.097233,0.050417,0.02227,0.029983,0.070425,0.083514,0.089254,0.10505,0.10637,0.10637,0.10753,0.11356,0.10266,0.10967,0.14991,0.19614,0.25153,0.30718,0.35147,0.37568,0.37086,0.3853,0.36704,0.3565,0.38614,0.44209,0.45969,0.47374,0.47885,0.46993,0.45413,0.46064,0.46572,0.45817,0.45125,0.43306,0.4086,0.37369,0.35058,0.30378,0.24173,0.17403,0.11745,0.072591,0.10564,0.15399,0.23411,0.2917,0.33572,0.35793,0.32311,0.28542,0.21891,0.19222
0.25209,0.27687,0.28225,0.27961,0.24598,0.22444,0.19518,0.16488,0.15125,0.14699,0.16213,0.16451,0.17929,0.19198,0.18963,0.18914,0.19003,0.21941,0.21201,0.23915,0.26782,0.3048,0.33743,0.3527,0.37535,0.3727,0.35515,0.31691,0.28973,0.27558,0.12818,0.13592,0.1496,0.15043,0.14699,0.1245,0.092662,0.057324,0.02227,0.029983,0.070425,0.082768,0.089254,0.10505,0.10637,0.11745,0.10753,0.11478,0.10266,0.10709,0.14699,0.18608,0.23966,0.2965,0.33354,0.36125,0.36356,0.37946,0.36296,0.3516,0.40002,0.44555,0.47407,0.49251,0.48834,0.48108,0.47609,0.47651,0.46625,0.47036,0.45648,0.43,0.40781,0.3714,0.3527,0.30378,0.22561,0.17403,0.11356,0.072591,0.09333,0.15399,0.22284,0.29639,0.3275,0.34881,0.32311,0.28952,0.21484,0.19222
0.25209,0.27687,0.28225,0.27961,0.24598,0.22444,0.19518,0.16488,0.15197,0.14699,0.16213,0.16451,0.17929,0.19198,0.18963,0.18914,0.19003,0.21941,0.21201,0.23947,0.26782,0.3048,0.33743,0.3527,0.37535,0.3727,0.35515,0.31691,0.28973,0.27558,0.12818,0.13408,0.1496,0.15043,0.14699,0.1245,0.092662,0.057324,0.017606,0.028389,0.070425,0.079717,0.089254,0.10505,0.10637,0.11745,0.1081,0.11478,0.10037,0.10401,0.14699,0.18608,0.23966,0.2965,0.33354,0.36125,0.36356,0.37946,0.36296,0.3516,0.40002,0.44555,0.47407,0.49251,0.48834,0.48108,0.47609,0.47651,0.46625,0.47036,0.45648,0.43,0.40781,0.3714,0.3527,0.30378,0.22561,0.17403,0.10695,0.072591,0.09333,0.15399,0.22284,0.29639,0.3275,0.34881,0.32311,0.28952,0.21484,0.19222
0.22711,0.24899,0.25995,0.24881,0.22827,0.21317,0.18674,0.16375,0.15288,0.15197,0.15718,0.1551,0.17394,0.18127,0.18583,0.18263,0.18938,0.20608,0.20267,0.23947,0.26174,0.29303,0.31652,0.3451,0.3541,0.34416,0.32085,0.30194,0.27116,0.24881,0.11149,0.12998,0.13964,0.13751,0.1295,0.097233,0.083514,0.042402,0.0078737,0.035213,0.067274,0.079717,0.089254,0.098502,0.10505,0.11745,0.11478,0.10037,0.095301,0.10709,0.12598,0.17152,0.21664,0.26782,0.305,0.31583,0.33632,0.33665,0.32583,0.31495,0.34113,0.38914,0.41672,0.43076,0.42537,0.41916,0.40648,0.41098,0.41053,0.39628,0.3987,0.37864,0.36087,0.32551,0.30748,0.26521,0.2066,0.15678,0.10637,0.072591,0.09333,0.15319,0.21492,0.26144,0.29229,0.30718,0.29634,0.24479,0.20267,0.17394
0.22711,0.24899,0.25995,0.24881,0.22827,0.21317,0.18674,0.16375,0.15288,0.15197,0.15718,0.1551,0.17394,0.18127,0.18583,0.18263,0.18938,0.20608,0.20267,0.23947,0.26174,0.29303,0.31652,0.3451,0.3541,0.34416,0.32085,0.30194,0.27116,0.24881,0.11149,0.12998,0.13964,0.13751,0.1295,0.097233,0.083514,0.042402,0.0078737,0.035213,0.067274,0.084984,0.089254,0.098502,0.10505,0.11745,0.11478,0.10037,0.095301,0.10709,0.12598,0.17152,0.21664,0.26782,0.305,0.31583,0.33632,0.33665,0.32583,0.31495,0.34113,0.38914,0.41672,0.43076,0.42537,0.41916,0.40648,0.41098,0.41053,0.39628,0.3987,0.37864,0.36087,0.32551,0.30748,0.26521,0.2066,0.15678,0.10637,0.074907,0.099126,0.15319,0.21492,0.26144,0.29229,0.30718,0.29634,0.24479,0.20267,0.17394
