0,0,0
5.5022,3.7493,-58.729
5.8518,3.7322,-51.099
6.3846,3.6693,-55.894
6.875,3.6749,-54.812
7.3757,3.6797,-56.981
7.8691,3.6916,-52.056
8.3684,3.7006,-59.344
8.8536,3.7243,-58.331
9.3719,3.7126,-59.048
9.9163,3.6493,-58.748
10.873,3.6774,-63.728
11.854,3.7777,-64.385
12.377,3.6904,-65.153
12.882,3.6741,-67.211
13.369,3.7045,-65.499
13.863,3.7134,-70.068
14.359,3.7218,-68.058
14.869,3.6957,-66.014
15.363,3.7075,-65.651
15.867,3.683,-66.897
16.364,3.6988,-68.295
16.924,3.7701,-69.625
17.361,3.7229,-70.58
17.857,3.7104,-65.977
18.364,3.7143,-68.924
18.857,3.7171,-68.522
19.357,3.7159,-66.322
20.009,3.8806,-69.75
