0.0,0.0,4.59489917755,1.76557946205,4.64542102814,1.69997155666,
0.0,0.0,4.44744729996,1.76085734367,4.19997167587,1.66863834858,
4.38345,1.57468,4.50169,1.01548,3.26338,0.302201,
5.13006,3.02062,5.08781,2.89397,5.25749,3.24217,
5.33065,2.82201,5.3186,2.61849,5.13869,3.12284,
5.10147,3.18465,5.20643,3.03806,5.324,3.20093,
5.27131,3.21924,5.54157,2.91469,5.40325,2.56653,
5.31463,2.19079,5.487,1.62781,5.51958,1.1164,
0.0,0.0,3.76005482674,0.513921618462,3.83423876762,0.479998022318,
0.0,0.0,5.83843708038,-2.4303150177,5.44406890869,-2.07692909241,
0.0,0.0,4.81572914124,0.306810408831,4.9080991745,0.436884015799,
0.0,0.0,5.36759471893,0.722042679787,5.54586839676,1.34564375877,
0.0,0.0,4.81722021103,2.2587454319,4.77785778046,2.12277245522,
0.0,0.0,7.48157548904,2.91858696938,7.57714939117,3.1438896656,
5.60864,-1.6676,5.6179,-1.88683,5.17088,-3.19588,
5.32911,-2.5498,5.50008,-2.57545,5.10138,-3.89128,
5.44968,-4.10248,5.42621,-6.018,5.05809,-6.54951,
9.79313,3.69688,9.77372,3.64347,9.81417,3.5868,
9.06654,3.79384,9.45797,3.43214,9.565,3.66078,
7.25006,0.502445,7.85008,2.53916,7.62413,2.78382,
6.74309,0.00514674,7.30753,1.86249,7.04037,2.45308,
5.23966,-6.94478,5.18473,-7.35793,5.0286,-7.15382,
6.53528,-4.14842,5.58541,-5.3299,5.6526,-4.83674,
4.94502,-7.58252,5.17081,-7.82334,5.19401,-7.36873,
5.60176,-2.64548,5.51933,-3.81665,5.33932,-5.90729,
6.16432,-3.06729,5.33735,-4.31229,5.21516,-5.56427,
5.7944,-5.36356,5.27784,-6.20086,4.95582,-7.58324,
5.34155,-5.18219,5.19355,-4.47816,5.2934,-4.12976,
