0,0,0
5.2522,3.4975,-53.976
5.2319,3.1482,-49.049
5.1858,2.6352,-48.366
5.2071,2.1277,-49.078
5.209,1.6356,-44.08
5.219,1.1436,-43.607
5.1888,0.63142,-46.574
5.1561,0.10121,-44.852
5.1303,-0.42762,-47.894
5.1741,-0.88679,-50.217
5.1555,-1.3901,-55.114
5.1481,-1.9168,-60.168
5.2007,-2.3678,-58.447
5.2075,-2.8613,-56.117
5.178,-3.3934,-59.327
5.1725,-3.8809,-60.643
5.1865,-4.3668,-61.916
5.1775,-4.8777,-60.279
5.1792,-5.3874,-63.569
5.1771,-5.8751,-58.346
5.1198,-6.4769,-62.473
5.1747,-6.8748,-61.043
5.1702,-7.3734,-61.913
5.199,-7.8663,-64.792
5.1892,-8.3913,-66.005
5.1835,-8.8818,-63.2
5.1672,-9.4064,-68.286
5.1597,-9.8959,-66.396
5.144,-10.41,-66.485
5.1512,-10.902,-65.483
5.1431,-11.406,-68.152
